modulus,character,zero_index,imaginary_part,real_part
5,1,1,14.203544088715338,0.5
5,2,2,14.593199402185368,0.5
5,3,3,15.152212035226125,0.5
5,4,4,15.621038149232733,0.5
5,1,5,16.092187303168526,0.5
5,2,6,16.696716405497586,0.5
5,3,7,17.047887421963505,0.5
5,4,8,17.64968610098114,0.5
5,1,9,18.176196306171978,0.5
5,2,10,18.769477719120964,0.5
5,3,11,19.13994211900017,0.5
5,4,12,19.515536934511612,0.5
5,1,13,20.202205233317397,0.5
5,2,14,20.545915472694077,0.5
5,3,15,21.06771523006295,0.5
5,4,16,21.584738033466046,0.5
5,1,17,22.116247940883696,0.5
5,2,18,22.764005357886408,0.5
5,3,19,23.19992059223049,0.5
5,4,20,23.524723646403352,0.5
5,1,21,24.28598829016844,0.5
5,2,22,24.740834062441134,0.5
5,3,23,25.176384384281455,0.5
5,4,24,25.40298380262261,0.5
5,1,25,26.050316919026837,0.5
5,2,26,26.63562884417797,0.5
5,3,27,27.300267620217653,0.5
5,4,28,27.76727185699173,0.5
5,1,29,28.03818189953216,0.5
5,2,30,28.4666983940885,0.5
5,3,31,29.11648362838829,0.5
5,4,32,29.648763233901164,0.5
5,1,33,30.010603506612803,0.5
5,2,34,30.547634316115495,0.5
5,3,35,31.34633935740776,0.5
5,4,36,31.597322760789922,0.5
5,1,37,32.10464238971925,0.5
5,2,38,32.91735559778463,0.5
5,3,39,33.10085222859265,0.5
5,4,40,33.533593667613204,0.5
5,1,41,34.06380768727833,0.5
5,2,42,34.663883252720794,0.5
5,3,43,35.08723629916494,0.5
5,4,44,35.62171033172866,0.5
5,1,45,36.13042934452219,0.5
5,2,46,36.94951161113246,0.5
5,3,47,37.20598956972583,0.5
5,4,48,37.53961947355103,0.5
5,1,49,38.11730452290229,0.5
5,2,50,38.7150284263694,0.5
5,3,51,39.24301029541768,0.5
5,4,52,39.47428370162889,0.5
5,1,53,39.99301384262673,0.5
5,2,54,40.68172162294236,0.5
5,3,55,41.07095087533229,0.5
5,4,56,41.55690405346801,0.5
5,1,57,42.15343290165357,0.5
5,2,58,42.71380115427171,0.5
5,3,59,43.110832021877215,0.5
5,4,60,43.44041960919134,0.5
5,1,61,44.08186763176321,0.5
5,2,62,44.51868447304198,0.5
5,3,63,45.190897485754476,0.5
5,4,64,45.83977469906263,0.5
5,1,65,46.16351688508001,0.5
5,2,66,46.678826345219996,0.5
5,3,67,47.21602508165117,0.5
5,4,68,47.76952962438145,0.5
5,1,69,48.07653947427743,0.5
5,2,70,48.62943122391814,0.5
5,3,71,49.22957139371232,0.5
5,4,72,49.54055523739157,0.5
5,1,73,49.98382157556186,0.5
5,2,74,50.588218657128664,0.5
5,3,75,51.260364240900586,0.5
5,4,76,51.64877548722953,0.5
5,1,77,52.088099491689064,0.5
5,2,78,52.73629848350255,0.5
5,3,79,53.190073051786634,0.5
5,4,80,53.557029676494935,0.5
5,1,81,54.11574195211734,0.5
5,2,82,54.5323103075285,0.5
5,3,83,55.1490635734085,0.5
5,4,84,55.69835866263319,0.5
5,1,85,55.88892236138337,0.5
5,2,86,56.53270759097146,0.5
5,3,87,57.30258457425433,0.5
5,4,88,57.60117061539868,0.5
5,1,89,58.30059616265014,0.5
5,2,90,58.50721903650082,0.5
5,3,91,59.08154561566013,0.5
5,4,92,59.65649055618224,0.5
