modulus,character,zero_index,imaginary_part,real_part,spacing,local_density,height_normalized,spacing_ratio,regime
5,1,1,14.203544088715338,0.5,,,14.203544088715338,,
5,2,2,14.593199402185368,0.5,0.3896553134700298,,7.296599701092684,,
5,3,3,15.152212035226125,0.5,0.5590126330407568,,5.050737345075375,1.434633671648245,
5,4,4,15.621038149232731,0.5,0.4688261140066068,,3.905259537308183,0.8386681915512728,
5,1,5,16.092187303168526,0.5,0.4711491539357944,,3.218437460633705,1.0049550139375445,
5,2,6,16.696716405497586,0.5,0.6045291023290602,,2.782786067582931,1.283094954706089,
5,3,7,17.047887421963505,0.5,0.3511710164659192,,2.4354124888519295,0.5809001007775604,
5,4,8,17.64968610098114,0.5,0.6017986790176337,,2.2062107626226424,1.7136911954578624,
5,1,9,18.176196306171978,0.5,0.5265102051908386,,2.0195773673524418,0.8748942520949118,
5,2,10,18.769477719120964,0.5,0.5932814129489863,1.5342846180986907,1.8769477719120964,1.1268184492909228,2.0
5,3,11,19.13994211900017,0.5,0.3704643998792072,1.5430924092023834,1.7399947380909246,0.624432843829985,2.0
5,4,12,19.51553693451161,0.5,0.3755948155114375,1.5124473869989237,1.6262947445426341,1.013848606327364,2.0
5,1,13,20.2022052333174,0.5,0.6866682988057917,1.5267083219154298,1.5540157871782616,1.8282155941656804,2.0
5,2,14,20.54591547269408,0.5,0.34371023937668,1.5072820216024938,1.4675653909067201,0.5005477025434816,2.0
5,3,15,21.06771523006295,0.5,0.5217997573688713,1.4879387011225318,1.4045143486708633,1.5181385294635312,2.0
5,4,16,21.58473803346605,0.5,0.5170228034030977,1.4934759192720861,1.349046127091628,0.9908452353641156,2.0
5,1,17,22.116247940883696,0.5,0.5315099074176466,1.4778281728845002,1.3009557612284528,1.0280202418910602,2.0
5,2,18,22.764005357886408,0.5,0.6477574170027118,1.5061512373877957,1.2646669643270227,1.2187118395400314,2.0
5,3,19,23.19992059223049,0.5,0.4359152343440833,1.5240835305239337,1.2210484522226575,0.6729606221433021,2.0
5,4,20,23.524723646403352,0.5,0.32480305417286104,1.5305760590093875,1.1762361823201677,0.7451059944293723,2.0
5,1,21,24.28598829016844,0.5,0.7612646437650881,1.5636782892943646,1.1564756328651637,2.3437730464195115,2.0
5,2,22,24.74083406244113,0.5,0.45484577227269085,1.5585537836444656,1.1245833664745968,0.5974870578818681,2.0
5,3,23,25.17638438428145,0.5,0.4355503218403207,1.571745122476879,1.094625408012237,0.9575780371971842,2.0
5,4,24,25.40298380262261,0.5,0.22659941834115926,1.5125864264645068,1.0584576584426089,0.5202600181391532,2.0
5,1,25,26.05031691902684,0.5,0.64733311640423,1.4843344438706816,1.0420126767610736,2.8567289410674057,2.0
