curve_label,zero_index,imaginary_part,real_part
11a1,1,0.32649136069313767,0.5
11a2,2,1.0696039873767498,0.5
11a3,3,1.879514204248813,0.5
11a1,4,2.6585625160038027,0.5
11a2,5,3.9286936116095963,0.5
11a3,6,4.472820611456365,0.5
11a1,7,5.606398664418767,0.5
11a2,8,6.15527109473056,0.5
11a3,9,6.6695336406575185,0.5
11a1,10,7.670284198219007,0.5
11a2,11,8.593892036790342,0.5
11a3,12,9.346646870427854,0.5
11a1,13,10.034514335330163,0.5
11a2,14,11.033278521721982,0.5
11a3,15,11.542053130732038,0.5
11a1,16,12.525717672904845,0.5
11a2,17,13.41831613515698,0.5
11a3,18,14.04364022539123,0.5
11a1,19,14.97393916928429,0.5
11a2,20,15.680438549690503,0.5
11a3,21,16.52937062644297,0.5
11a1,22,17.362057831335054,0.5
11a2,23,18.055204937488483,0.5
11a3,24,19.10785009761929,0.5
11a1,25,19.73810991531752,0.5
11a2,26,20.58256175656684,0.5
11a3,27,21.46993588697061,0.5
11a1,28,22.188271426309857,0.5
11a2,29,22.75712254941359,0.5
11a3,30,23.80813939088441,0.5
11a1,31,24.5378960942579,0.5
11a2,32,25.19451030316112,0.5
11a3,33,26.271066065819674,0.5
11a1,34,26.745560776983954,0.5
11a2,35,27.617127821427978,0.5
11a3,36,28.43694381543233,0.5
11a1,37,29.108644888668653,0.5
11a2,38,30.09727799771038,0.5
11a3,39,30.80046467397411,0.5
11a1,40,31.733958505531795,0.5
11a2,41,32.758983270183265,0.5
11a3,42,33.294109400348184,0.5
11a1,43,34.172295964034255,0.5
11a2,44,34.897094273843884,0.5
11a3,45,35.65265921487486,0.5
11a1,46,36.609577873968945,0.5
11a2,47,37.15917266455383,0.5
11a3,48,38.24953244101184,0.5
11a1,49,38.78392203137153,0.5
11a2,50,39.90224206450988,0.5
11a3,51,40.44489076497458,0.5
11a1,52,41.176271143870736,0.5
11a2,53,42.11527097523827,0.5
11a3,54,42.66408381304642,0.5
11a1,55,43.53890835627198,0.5
11a2,56,44.571111940142295,0.5
11a3,57,45.47657570731456,0.5
11a1,58,46.011846229184286,0.5
11a2,59,47.09127009139332,0.5
11a3,60,47.63805066371966,0.5
11a1,61,48.52732131359396,0.5
11a2,62,49.32859669657256,0.5
11a3,63,50.329611957965,0.5
11a1,64,51.03265053165706,0.5
11a2,65,51.66950634898383,0.5
11a3,66,52.86529962086428,0.5
11a1,67,53.29150002244626,0.5
11a2,68,54.10229847720296,0.5
11a3,69,54.949869036376874,0.5
11a1,70,55.63689157217789,0.5
11a2,71,56.70761844653407,0.5
11a3,72,57.285659815593164,0.5
11a1,73,58.19712039679749,0.5
11a2,74,58.488636267743594,0.5
11a3,75,59.719717738175554,0.5
11a1,76,60.44956413411332,0.5
11a2,77,61.31071011830278,0.5
11a3,78,61.92631125716535,0.5
11a1,79,62.872585862087234,0.5
11a2,80,63.72754399316183,0.5
11a3,81,64.44649815798702,0.5
11a1,82,65.38955435552916,0.5
11a2,83,66.10963841769325,0.5
11a3,84,66.99552714731792,0.5
11a1,85,67.84649861602438,0.5
11a2,86,68.65848019484018,0.5
11a3,87,69.2426786648112,0.5
11a1,88,70.04044259878856,0.5
11a2,89,71.14067130655846,0.5
11a3,90,71.56230994927476,0.5
11a1,91,72.43698391948101,0.5
11a2,92,73.27582927082766,0.5
11a3,93,73.97145928846822,0.5
11a1,94,74.91692008271262,0.5
11a2,95,75.88226552201272,0.5
11a3,96,76.21310766144364,0.5
11a1,97,77.22255064132689,0.5
11a2,98,78.11791114650372,0.5
11a3,99,79.1346949136785,0.5
11a1,100,79.47593859085313,0.5
11a2,101,80.63034938831157,0.5
11a3,102,81.27550554064423,0.5
11a1,103,82.12436263798274,0.5
11a2,104,83.08415627792293,0.5
11a3,105,83.68024651320859,0.5
11a1,106,84.49510416823539,0.5
11a2,107,85.32024850100433,0.5
11a3,108,86.13020223430568,0.5
11a1,109,86.73669542426354,0.5
11a2,110,87.72428827689707,0.5
11a3,111,88.56511510655625,0.5
11a1,112,89.0579588376305,0.5
11a2,113,90.22965796214477,0.5
11a3,114,91.03727462796856,0.5
11a1,115,91.7379479962514,0.5
11a2,116,92.29831915740148,0.5
11a3,117,93.20267734416198,0.5
11a1,118,93.75115180374897,0.5
11a2,119,94.84634683528671,0.5
11a3,120,95.56297833156289,0.5
11a1,121,96.48980684473663,0.5
11a2,122,97.45022309639232,0.5
11a3,123,98.0246510295696,0.5
11a1,124,98.96166720324,0.5
11a2,125,99.68686261428508,0.5
11a3,126,100.36441316199631,0.5
11a1,127,101.51137567977304,0.5
11a2,128,102.22411890408912,0.5
11a3,129,102.73371869484791,0.5
11a1,130,103.76727093665575,0.5
11a2,131,104.46886897825264,0.5
11a3,132,105.37688294800475,0.5
11a1,133,105.89883269303041,0.5
11a2,134,106.84774843770512,0.5
11a3,135,107.75305782736564,0.5
11a1,136,108.33684504799925,0.5
11a2,137,109.33884522808539,0.5
11a3,138,110.04976788719107,0.5
11a1,139,110.90658671702158,0.5
11a2,140,111.85293017522919,0.5
11a3,141,112.90597510761947,0.5
11a1,142,113.31169591605283,0.5
11a2,143,114.07177225276473,0.5
11a3,144,115.1896784771547,0.5
11a1,145,115.8700329095602,0.5
11a2,146,116.7664525258689,0.5
11a3,147,117.33573680711069,0.5
11a1,148,118.22246081893424,0.5
11a2,149,118.90725127377269,0.5
11a3,150,119.70847164973341,0.5
11a1,151,120.5165754828446,0.5
11a2,152,121.36246078367832,0.5
11a3,153,122.11116339603525,0.5
11a1,154,123.10829094626699,0.5
11a2,155,123.78633156615008,0.5
11a3,156,124.53021792298433,0.5
11a1,157,125.32419717982816,0.5
11a2,158,126.03622559795534,0.5
11a3,159,126.73729716885393,0.5
11a1,160,127.85012852858009,0.5
11a2,161,128.64939236271408,0.5
11a3,162,129.13395088371774,0.5
11a1,163,129.9372007067584,0.5
11a2,164,131.0050005895575,0.5
11a3,165,131.65196723828873,0.5
11a1,166,132.35150334407388,0.5
11a2,167,133.05932378483104,0.5
11a3,168,134.03066268002928,0.5
11a1,169,134.9195900999523,0.5
11a2,170,135.6576082687131,0.5
11a3,171,136.30104727802785,0.5
11a1,172,137.2117499787461,0.5
11a2,173,138.18326155959798,0.5
11a3,174,139.1374542544053,0.5
11a1,175,139.7069830812086,0.5
11a2,176,140.65492194328817,0.5
11a3,177,141.40814864632563,0.5
11a1,178,142.01287717230193,0.5
11a2,179,143.04064358586243,0.5
11a3,180,143.86864626484575,0.5
11a1,181,144.42737525179604,0.5
11a2,182,145.3026563026255,0.5
11a3,183,146.01521763023214,0.5
11a1,184,146.71144741386018,0.5
11a2,185,147.8534686531387,0.5
11a3,186,148.74041634640346,0.5
11a1,187,149.29077895849,0.5
